year,county,port,port_label,is_named_port,kgs,dollars,measure_class
2018,Cumberland,Northport,Northport,1,,,both_blank
2018,Cumberland,Other,Other (Cumberland),0,60411.76,831209.15,both_present
2018,Cumberland,Pugwash,Pugwash,1,,,both_blank
2018,Cumberland,Wallace,Wallace,1,,,both_blank
2018,Digby,Cape St. Marys,Cape St. Marys,1,268256.00,4827408.00,both_present
2018,Digby,Centerville,Centerville,1,67788.87,1199857.86,both_present
2018,Digby,Culloden,Culloden,1,,,both_blank
2018,Digby,Digby,Digby,1,5104618.76,59806801.95,both_present
2018,Digby,East Ferry,East Ferry,1,,,both_blank
2018,Digby,Freeport,Freeport,1,52783.13,893796.95,both_present
2018,Digby,Freeport,Freeport,1,,,both_blank
2018,Digby,Gilberts Cove,Gilberts Cove,1,,,both_blank
2018,Digby,Little River,Little River (Digby),1,839727.16,9217208.24,both_present
2018,Digby,Meteghan,Meteghan,1,2814640.06,4509075.44,both_present
2018,Digby,Meteghan River,Meteghan River,1,,,both_blank
2018,Digby,Other,Other (Digby),0,155099.43,268537.95,both_present
2018,Digby,Rossway,Rossway,1,,,both_blank
2018,Digby,Sandy Cove East,Sandy Cove East,1,239969.22,3592659.51,both_present
2018,Digby,Saulnierville,Saulnierville,1,499504.14,4804369.63,both_present
2018,Digby,Tiverton,Tiverton,1,293865.02,5372982.33,both_present
2018,Digby,Westport,Westport,1,568683.26,8754304.04,both_present
2018,Digby,Weymputh North,Weymputh North,1,265277.16,867502.75,both_present
2018,Digby,Whale Cove,Whale Cove,1,,,both_blank
2018,Guysborough,Canso,Canso,1,2435197.55,7871946.12,both_present
2018,Guysborough,Charlos Cove,Charlos Cove,1,,,both_blank
2018,Guysborough,Cooks Cove,Cooks Cove,1,,,both_blank
2018,Guysborough,Dover,Dover,1,,,both_blank
2018,Guysborough,Drum Head,Drum Head,1,,,both_blank
2018,Guysborough,Ecum Secum,Ecum Secum,1,,,both_blank
2018,Guysborough,Fishermans Harbour,Fishermans Harbour,1,,,both_blank
2018,Guysborough,Goldboro,Goldboro,1,,,both_blank
2018,Guysborough,Half Island Cove,Half Island Cove,1,,,both_blank
2018,Guysborough,Larrys River,Larrys River,1,,,both_blank
2018,Guysborough,Little Harbour,Little Harbour (Guysborough),1,,,both_blank
2018,Guysborough,Little Liscomb,Little Liscomb,1,,,both_blank
2018,Guysborough,Marie Joseph,Marie Joseph,1,356222.59,4805198.10,both_present
2018,Guysborough,New Harbour,New Harbour,1,,,both_blank
2018,Guysborough,Other,Other (Guysborough),0,141871.96,4933356.74,both_present
2018,Guysborough,Pirate Harbour,Pirate Harbour,1,,,both_blank
2018,Guysborough,Port Brickerton East,Port Brickerton East,1,,,both_blank
2018,Guysborough,Port Brickerton West,Port Brickerton West,1,,,both_blank
2018,Guysborough,Port Felix,Port Felix,1,,,both_blank
2018,Guysborough,Queensport,Queensport,1,,,both_blank
2018,Guysborough,Sonora,Sonora,1,,,both_blank
2018,Guysborough,Upper Whitehead,Upper Whitehead,1,45346.08,602658.26,both_present
2018,Guysborough,Wine Harbour,Wine Harbour,1,,,both_blank
2018,Halifax,Boutiliers Point,Boutiliers Point,1,,,both_blank
2018,Halifax,Carters Point,Carters Point,1,,,both_blank
2018,Halifax,Coopers Point,Coopers Point,1,,,both_blank
2018,Halifax,East Chezzetcook,East Chezzetcook,1,72644.13,272075.09,both_present
2018,Halifax,East Dover,East Dover,1,,,both_blank
2018,Halifax,East Jeddor,East Jeddor,1,1405935.16,7848189.38,both_present
2018,Halifax,East Petpeswick,East Petpeswick,1,,,both_blank
2018,Halifax,Eastern Passage,Eastern Passage,1,1452835.93,4438774.00,both_present
2018,Halifax,Ecum Secum West,Ecum Secum West,1,,,both_blank
2018,Halifax,Factory Cove,Factory Cove,1,,,both_blank
2018,Halifax,Gammons Creek,Gammons Creek,1,,,both_blank
2018,Halifax,Halifax,Halifax,1,1325362.75,5347104.83,both_present
2018,Halifax,Indian Harbour,Indian Harbour,1,,,both_blank
2018,Halifax,Ketch Harbour,Ketch Harbour,1,,,both_blank
2018,Halifax,Little Harbour,Little Harbour (Halifax),1,,,both_blank
2018,Halifax,Ostrea Lake,Ostrea Lake,1,,,both_blank
2018,Halifax,Other,Other (Halifax),0,1603131.17,25457846.49,both_present
2018,Halifax,Owls Head,Owls Head,1,,,both_blank
2018,Halifax,Peggys Cove,Peggys Cove,1,,,both_blank
2018,Halifax,Pleasant Point,Pleasant Point,1,,,both_blank
2018,Halifax,Prospect,Prospect,1,,,both_blank
2018,Halifax,Sambro,Sambro,1,2725537.21,17270108.36,both_present
2018,Halifax,Shad Bay,Shad Bay,1,,,both_blank
2018,Halifax,Sober Island,Sober Island,1,,,both_blank
2018,Halifax,Terence Bay,Terence Bay,1,,,both_blank
2018,Halifax,Three Fathom Harbour,Three Fathom Harbour,1,,,both_blank
2018,Halifax,West Chezzetcook,West Chezzetcook,1,,,both_blank
2018,Halifax,West Dover,West Dover,1,,,both_blank
2018,Hants,Other,Other (Hants),0,,,both_blank
2018,Inverness,Cheticamp,Cheticamp,1,2735828.81,34720733.00,both_present
2018,Inverness,Cheticamp - Town Wharf,Cheticamp - Town Wharf,1,,,both_blank
2018,Inverness,Cheticamp Point,Cheticamp Point,1,,,both_blank
2018,Inverness,Finlay Point,Finlay Point,1,,,both_blank
2018,Inverness,Grand Etang,Grand Etang,1,344299.91,4705823.09,both_present
2018,Inverness,Inverness,Inverness,1,300568.21,3881856.23,both_present
2018,Inverness,Judique,Judique,1,,,both_blank
2018,Inverness,Little Judique Harbour,Little Judique Harbour,1,,,both_blank
2018,Inverness,Little Judique Ponds,Little Judique Ponds,1,,,both_blank
2018,Inverness,Mabou Harbour,Mabou Harbour,1,319492.51,3993522.60,both_present
2018,Inverness,Marble Mountain,Marble Mountain,1,,,both_blank
2018,Inverness,Margaree Harbour,Margaree Harbour,1,326975.43,4364773.06,both_present
2018,Inverness,Meat Cove,Meat Cove,1,,,both_blank
2018,Inverness,Murphys Pond,Murphys Pond,1,,,both_blank
