source_object_id,permit_number,date_of_permit_issuance,estimated_project_value,work_type,primary_work_scope,permit_status,community,district,net_new_units,number_of_storeys,type_of_structure,latitude,longitude
7282,BPRES-2024-17964,2026-03-09,250000,New Building,New Building,Issued,LAWRENCETOWN,District 02,1,1,Dwelling - Backyard Suite,44.65127061713557,-63.38903847944862
7283,BPRES-2024-17988,2024-12-03,450000,New Building,New Building,Completed,FLETCHERS LAKE,District 01,1,2,Dwelling - Single Detached,44.85141480777437,-63.59765895805403
7284,BPRES-2024-18026,2024-12-20,2000,Renovation,Renovation,Completed,HALIFAX,District 12,0,1,Dwelling - Townhouse,44.64900016592147,-63.651167789150875
7285,BPRES-2024-18040,2024-12-17,250000,Addition,Addition,Issued,BEDFORD,District 16,0,2,Dwelling - Single Detached,44.73263303527001,-63.66913368919848
7286,BPRES-2024-18080,2025-01-03,1000000,New Building,New Building,Issued,HALIFAX,District 08,4,3,Dwelling - Multiple Units,44.65464129825924,-63.58549312357304
7287,BPRES-2024-18121,2024-12-05,2600,Renovation,Renovation,Issued,DARTMOUTH,District 06,0,1,Dwelling - Single Detached,44.68009831597681,-63.534741868287746
7288,BPRES-2024-18176,2025-01-21,200,Renovation,Renovation,Completed,DARTMOUTH,District 06,-1,1,Dwelling - Single Detached,44.679419882797795,-63.51456311854292
7289,BPRES-2024-18216,2024-12-12,725000,New Building,New Building,Completed,BEDFORD,District 16,1,3,Dwelling - Single Detached,44.70727850777334,-63.72579286398989
7290,BPRES-2024-18242,2024-12-16,48500,Renovation,Renovation,Issued,HALIFAX,District 08,0,2,Dwelling - Semi-Detached,44.662180498629716,-63.599918314299785
7291,BPRES-2024-18276,2024-12-17,33000,New Building,New Building,Issued,WAVERLEY,District 01,0,1,Accessory Structure,44.786237548672595,-63.60644909040143
7292,BPRES-2024-18301,2024-12-20,24000,Renovation,Renovation,Completed,HALIFAX,District 11,1,2,Dwelling - Multiple Units,44.5931005573876,-63.63738462933951
7293,BPRES-2024-18316,,70000,New Building,New Building,Cancelled,,District 02,1,1,Dwelling - Single Detached,44.79723011525248,-63.39320962588997
7294,BPRES-2024-18353,2024-12-12,450000,New Building,New Building,Completed,WHITES LAKE,District 13,1,1,Dwelling - Single Detached,44.51793152528792,-63.752479808002256
7295,BPRES-2024-18374,2024-12-23,180000,Addition,Addition,Completed,LAWRENCETOWN,District 02,0,2,Dwelling - Single Detached,44.66007460492716,-63.36178946695183
7296,BPRES-2024-18416,,50000,New Building,New Building,Application Incomplete,LOWER SACKVILLE,District 15,1,2,Dwelling - Backyard Suite,44.77743726755055,-63.69066039035102
