project_de,km,county,project_ty,construct_,year_start,year_end,status,source
Meadow Green Road: from Pomquet River Road southerly 4.5 km,4.5,Antigonish,Gravel Road Projects for 2025-26,Gravel Road Program,2025-2026,2025-2026,Completed,roads
Meadow Road: from Cabot Trail at Goose Cove northerly 5.4 km,5.4,Victoria,Gravel Road Projects for 2025-26,Gravel Road Program,2025-2026,2025-2026,Completed,roads
Medford Beach Road: from Medford Road to end of listing,0.6,Kings,Gravel Road Projects for 2025-26,Gravel Road Program,2025-2026,2025-2026,Completed,roads
Messenger Road: from Torbrook Road to Kings county line,2.6,Annapolis,Asphalt Projects for 2026-27,Maintenance Paving,2026-2027,2026-2027,Planned,roads
Middle Road: from Rushton Road to Plains Road,5.8,Colchester,Asphalt Projects for 2025-26,Repaving Local Roads,2025-2026,2025-2026,Completed,roads
Middletown Road: from 2.7 km north of Route 344 northerly 1.5 km,1.5,Guysborough,Gravel Road Projects for 2025-26,Gravel Road Program,2025-2026,2025-2026,Completed,roads
Mill Village Road: from 1.0 km north of Trunk 3 northerly 1.1 km,1.1,Queens,Gravel Road Projects for 2025-26,Gravel Road Program,2025-2026,2025-2026,Completed,roads
Mines Road: from chip seal turning circle easterly 2.1 km to end of asphalt,2.1,Hants,Asphalt Projects for 2025-26,Double Chip Resurfacing,2025-2026,2025-2026,Completed,roads
Mooseland Road: from 22.5 km (end of asphalt) north of Trunk 7 northerly 4.0 km,4.0,Halifax,Gravel Road Projects for 2026-27,Gravel Road Program,2026-2027,2026-2027,Planned,roads
Morrison Road: from Trunk 22 easterly,5.0,Cape Breton,Asphalt Projects for 2025-26,Repaving Local Roads,2025-2026,2025-2026,Completed,roads
Murray Road: from Pleasant Valley Road to Salter Road,2.8,Pictou,Gravel Road Projects for 2025-26,Gravel Road Program,2025-2026,2025-2026,Completed,roads
Neily Road South: from Trunk 10 to Neily Road,1.1,Annapolis,Gravel Road Projects for 2025-26,Gravel Road Program,2025-2026,2025-2026,Completed,roads
Neville Street: from Main Street to Dominion town line,1.65,Cape Breton,Asphalt Projects for 2026-27,Maintenance Paving,2026-2027,2026-2027,Planned,roads
New Campbellton Road: from Highway 105 easterly,6.5,Victoria,Gravel Road Projects for 2026-27,Gravel Road Program,2026-2027,2026-2027,Planned,roads
New Ferry Road: from Little Mabou Road northerly 0.91 km,0.91,Inverness,Gravel Road Projects for 2025-26,Gravel Road Program,2025-2026,2025-2026,Completed,roads
New Ross Road: from Pioneer Drive westerly,5.3,Hants,Asphalt Projects for 2026-27,Repaving Local Roads,2026-2027,2026-2027,Planned,roads
New Russell Road: from Lewis Lake Road easterly,3.0,Lunenburg,Asphalt Projects for 2026-27,Repaving Local Roads,2026-2027,2026-2027,Planned,roads
New Russell Road: from Russell Road easterly to Lewis Lake Road,3.2,Lunenburg,Asphalt Projects for 2025-26,Repaving Local Roads,2025-2026,2025-2026,Completed,roads
North Middle River Road: from Trunk 14 westerly 1.6 km,1.6,Lunenburg,Gravel Road Projects for 2025-26,Gravel Road Program,2025-2026,2025-2026,Completed,roads
Norwood Road: from D'Entremont Road southerly,3.2,Digby,Gravel Road Projects for 2026-27,Gravel Road Program,2026-2027,2026-2027,Planned,roads
Oak Hill Road: from Route 325 southerly,2.8,Lunenburg,Asphalt Projects for 2026-27,Maintenance Paving,2026-2027,2026-2027,Planned,roads
Ohio Road: from Route 208 southerly 2.3 km,2.3,Lunenburg,Gravel Road Projects for 2025-26,Gravel Road Program,2025-2026,2025-2026,Completed,roads
Old Cabot Trail: from Cabot Trail to Cabot Trail,2.73,Inverness,Gravel Road Projects for 2025-26,Gravel Road Program,2025-2026,2025-2026,Completed,roads
Old Harvey Lane: from Route 207 to Route 207,0.57,Halifax,Gravel Road Projects for 2025-26,Gravel Road Program,2025-2026,2025-2026,Completed,roads
Old Kettle Road: from Highway 103 northerly 0.6 km,0.6,Queens,Gravel Road Projects for 2025-26,Gravel Road Program,2025-2026,2025-2026,Completed,roads
Old Monastery Road: from North Riverside Road to Trunk 16,3.5,Guysborough,Gravel Road Projects for 2026-27,Gravel Road Program,2026-2027,2026-2027,Planned,roads
Old Pictou Road: from 600 metres east of Baillies Road to River John Road,4.5,Pictou,Asphalt Projects for 2025-26,Repaving Local Roads,2025-2026,2025-2026,Completed,roads
