community,zone_class,polygons,area,area_share
MUSQUODOBOIT HARBOUR,Other,1,0.1179,0.22
MUSQUODOBOIT HARBOUR,Park and Open Space,56,33.4373,62.58
MUSQUODOBOIT HARBOUR,Rural and Resource,4,0.0735,0.14
MYERS POINT,Mixed Use,5,1.4989,100.00
NECUM TEUCH,Rural and Resource,2,2.6035,100.00
NEWCOMB CORNER,Mixed Use,1,2.1729,100.00
NORTH PRESTON,Industrial,1,0.0209,0.06
NORTH PRESTON,Institutional,4,0.0205,0.06
NORTH PRESTON,Park and Open Space,27,29.3312,88.83
NORTH PRESTON,Rural and Resource,8,3.6463,11.04
OAKFIELD,Institutional,1,0.0047,0.09
OAKFIELD,Park and Open Space,1,0.3537,7.14
OAKFIELD,Residential,22,3.6124,72.92
OAKFIELD,Rural and Resource,14,0.9831,19.84
OLDHAM,Industrial,1,0.1244,1.55
OLDHAM,Park and Open Space,4,2.3177,28.90
OLDHAM,Rural and Resource,5,5.5779,69.55
OSTREA LAKE,Mixed Use,23,1.5748,39.84
OSTREA LAKE,Park and Open Space,8,2.3784,60.16
OTTER LAKE,Park and Open Space,29,9.3981,66.76
OTTER LAKE,Residential,2,0.0313,0.22
OTTER LAKE,Rural and Resource,5,4.6486,33.02
OWLS HEAD,Mixed Use,1,2.0898,100.00
OYSTER POND,Mixed Use,4,0.3725,100.00
PACE SETTLEMENT,Rural and Resource,1,0.2324,100.00
PEGGYS COVE,Park and Open Space,6,0.3425,100.00
PEGGYS COVE PRESERVATION AREA,Park and Open Space,32,5.4836,100.00
PLEASANT HARBOUR,Park and Open Space,3,1.0732,38.08
PLEASANT HARBOUR,Rural and Resource,8,1.7452,61.92
PLEASANT POINT,Mixed Use,5,0.8462,100.00
PLEASANT VALLEY,Mixed Use,1,1.5462,100.00
POPES HARBOUR,Park and Open Space,5,2.1486,48.59
POPES HARBOUR,Rural and Resource,12,2.2730,51.41
PORT DUFFERIN,Park and Open Space,1,0.2039,57.00
PORT DUFFERIN,Rural and Resource,3,0.1539,43.00
PORTERS LAKE,Industrial,2,0.0485,0.06
PORTERS LAKE,Mixed Use,4,30.2172,36.83
PORTERS LAKE,Other,1,0.0347,0.04
PORTERS LAKE,Park and Open Space,3,6.3708,7.77
PORTERS LAKE,Residential,42,1.3252,1.62
PORTERS LAKE,Rural and Resource,80,44.0422,53.68
PORTUGUESE COVE,Institutional,3,0.0049,0.33
PORTUGUESE COVE,Park and Open Space,1,0.0003,0.02
PORTUGUESE COVE,Residential,5,1.4865,99.30
