objectid,area_name,designation,authority,owner,status,hectares,designation_year,record_rank
813,Salmon Lake Conservation Lands,Land Trust or Conservation Easement,Nova Scotia Nature Trust,Nova Scotia Nature Trust,Considered protected,27.57,,521
451,Chignecto Isthmus Conservation Lands,Land Trust or Conservation Easement,Nature Conservancy of Canada,Nature Conservancy of Canada,Considered protected,27.41,,522
439,Little Narrows Conservation Lands,Land Trust or Conservation Easement,Nature Conservancy of Canada,Nature Conservancy of Canada,Considered protected,27.40,,523
1005,Melbourne Conservation Lands,Land Trust or Conservation Easement,Ducks Unlimited Canada,Ducks Unlimited Canada,Considered protected,27.35,,524
1067,Upper Ohio Conservation Lands,Land Trust or Conservation Easement,Nature Conservancy of Canada,Nature Conservancy of Canada,Considered protected,27.26,,525
759,Mabou Highlands Conservation Lands (4),Land Trust or Conservation Easement,Nova Scotia Nature Trust,Nova Scotia Nature Trust,Considered protected,27.12,,526
899,Mabou Highlands Conservation Lands,Land Trust or Conservation Easement,Nova Scotia Nature Trust and private owner(s),Private owner(s),Considered protected,27.07,,527
571,Marble Mountain Conservation Lands,Land Trust or Conservation Easement,Nova Scotia Nature Trust,Nova Scotia Nature Trust,Considered protected,26.78,,528
547,Barren Brook Conservation Lands,Land Trust or Conservation Easement,Nova Scotia Nature Trust,Nova Scotia Nature Trust,Considered protected,26.73,,529
659,Brier Island Conservation Lands,Land Trust or Conservation Easement,Nature Conservancy of Canada,Nature Conservancy of Canada,Considered protected,26.70,,530
608,Upper Ohio Conservation Lands,Land Trust or Conservation Easement,Nature Conservancy of Canada,Nature Conservancy of Canada,Considered protected,26.63,,531
383,Pugwash River Estuary Conservation Lands,Land Trust or Conservation Easement,Nature Conservancy of Canada,Nature Conservancy of Canada,Considered protected,26.57,,532
109,Terence Bay Wilderness Area,Wilderness Area,NS Environment and Climate Change,NS Environment and Climate Change,Designated,26.56,,533
989,Amherst Point Conservation Lands,Land Trust or Conservation Easement,Ducks Unlimited Canada,Ducks Unlimited Canada,Considered protected,26.53,,534
96,Mary Harper Nature Reserve,"Nature Reserve, Land Trust","NS Environment and Climate Change, Bras d'Or Preservation Nature Trust",Bras d'Or Preservation Nature Trust,Designated,26.48,,535
349,Pennant River Conservation Lands,Land Trust or Conservation Easement,Nova Scotia Nature Trust,Nova Scotia Nature Trust,Considered protected,26.42,,536
910,Plaister Mines Conservation Lands,Land Trust or Conservation Easement,Nature Conservancy of Canada,Nature Conservancy of Canada,Considered protected,26.27,,537
1102,Fourchu Coast Wilderness Area,Wilderness Area,NS Environment and Climate Change,NS Environment and Climate Change,Designation decision made,26.20,,538
379,Johnstons Pond Conservation Lands,Land Trust or Conservation Easement,Nature Conservancy of Canada,Nature Conservancy of Canada,Considered protected,26.12,,539
1156,St. Andrews River Conservation Lands,Land Trust or Conservation Easement,Ducks Unlimited Canada,Ducks Unlimited Canada,Considered protected,25.88,,540
440,Little Narrows Conservation Lands,Land Trust or Conservation Easement,Nature Conservancy of Canada,Nature Conservancy of Canada,Considered protected,25.80,,541
844,Stoney Island Conservation Easement,Land Trust or Conservation Easement,Nova Scotia Nature Trust and private owner(s),Private owner(s),Considered protected,25.62,,542
8,Montrose Nature Reserve,Nature Reserve,NS Environment and Climate Change,NS Environment and Climate Change,Designated,25.54,,543
474,Blue Mountain Wilderness Connector,Land Trust or Conservation Easement,Nova Scotia Nature Trust,Nova Scotia Nature Trust,Considered protected,25.50,,544
406,Port Joli Conservation Lands,Land Trust or Conservation Easement,Nature Conservancy of Canada,Nature Conservancy of Canada,Considered protected,25.45,,545
171,Lake Rossignol Wilderness Area,Wilderness Area,NS Environment and Climate Change,NS Environment and Climate Change,Designated,25.44,,546
369,Pugwash River Estuary Conservation Lands,Land Trust or Conservation Easement,Nature Conservancy of Canada,Nature Conservancy of Canada,Considered protected,25.41,,547
463,Lake Annis Nature Reserve,Nature Reserve,"NS Environment and Climate Change, private owner(s)",Private owner(s),Designated,25.37,,548
309,Gerard Island Conservation Lands,Land Trust or Conservation Easement,Nova Scotia Nature Trust,Nova Scotia Nature Trust,Considered protected,25.18,,549
424,Little Narrows Conservation Lands,Land Trust or Conservation Easement,Nature Conservancy of Canada,Nature Conservancy of Canada,Considered protected,25.16,,550
604,Upper Ohio Conservation Lands,Land Trust or Conservation Easement,Nature Conservancy of Canada,Nature Conservancy of Canada,Considered protected,25.03,,551
687,Cameron Lake Conservation Lands,Land Trust or Conservation Easement,Nova Scotia Nature Trust,Nova Scotia Nature Trust,Considered protected,25.02,,552
239,Sight Point Conservation Lands,Land Trust or Conservation Easement,Nature Conservancy of Canada,Nature Conservancy of Canada,Considered protected,24.94,,553
837,Lobster Bay Conservation Lands,Land Trust or Conservation Easement,Nature Conservancy of Canada,Nature Conservancy of Canada,Considered protected,24.77,,554
315,Round Bay Conservation Lands,Land Trust or Conservation Easement,Nature Conservancy of Canada,Nature Conservancy of Canada,Considered protected,24.69,,555
481,Long Cove Conservation Lands,Land Trust or Conservation Easement,Nova Scotia Nature Trust,Nova Scotia Nature Trust,Considered protected,24.69,,556
21,Slade Lake Nature Reserve,Nature Reserve,NS Environment and Climate Change,NS Environment and Climate Change,Designated,24.62,,557
894,Hectanooga Conservation Lands,Land Trust or Conservation Easement,Nova Scotia Nature Trust,Nova Scotia Nature Trust,Considered protected,24.37,,558
198,Musquodoboit Harbour Conservation Lands,Land Trust or Conservation Easement,Nature Conservancy of Canada,Nature Conservancy of Canada,Considered protected,24.23,,559
928,Little Annapolis Lake Conservation Lands,Land Trust or Conservation Easement,Nova Scotia Nature Trust and private owner(s),Private owner(s),Considered protected,24.23,,560
124,Toadfish Lakes Wilderness Area,Wilderness Area,NS Environment and Climate Change,NS Environment and Climate Change,Designated,23.76,,561
544,Upper Ohio Conservation Lands,Land Trust or Conservation Easement,Nature Conservancy of Canada,Nature Conservancy of Canada,Considered protected,23.65,,562
418,Pugwash River Estuary Conservation Lands,Land Trust or Conservation Easement,Nature Conservancy of Canada,Nature Conservancy of Canada,Considered protected,23.53,,563
