"objectid","pro_name","protect1","protect2","owner","authority","status","stat_date","lgl_effect","ha_gis","shape_leng","shape_area"
"625","Lobster Bay Conservation Lands","Land Trust or Conservation Easement",,"Nature Conservancy of Canada","Nature Conservancy of Canada","Considered protected",,,"13.99122314","1759.584054637579","139912.2314007562"
"626","Lobster Bay Conservation Lands","Land Trust or Conservation Easement",,"Nature Conservancy of Canada","Nature Conservancy of Canada","Considered protected",,,"7.25798401","1497.0814374140884","72579.84009928523"
"627","Mabou Highlands Conservation Lands","Land Trust or Conservation Easement",,"Nova Scotia Nature Trust","Nova Scotia Nature Trust","Considered protected",,,"39.0227185","2741.656453164015","390227.1849997688"
"628","Mabou Highlands Conservation Lands","Land Trust or Conservation Easement",,"Nova Scotia Nature Trust","Nova Scotia Nature Trust","Considered protected",,,"53.58881045","2991.2388931514743","535888.1044998528"
"629","Mabou Highlands Conservation Lands","Land Trust or Conservation Easement",,"Nova Scotia Nature Trust","Nova Scotia Nature Trust","Considered protected",,,"1.36713358","707.0978608102448","13671.335799979783"
"630","Mabou Highlands Conservation Lands","Land Trust or Conservation Easement",,"Nova Scotia Nature Trust","Nova Scotia Nature Trust","Considered protected",,,"3.85444386","1363.30905530775","38544.438550100276"
"631","Marble Mountain Conservation Lands","Land Trust or Conservation Easement",,"Nova Scotia Nature Trust","Nova Scotia Nature Trust","Considered protected",,,"14.37229731","4021.283491880175","143722.97305015195"
"632","MacRitchies Brook Nature Reserve","Nature Reserve",,"NS Environment and Climate Change","NS Environment and Climate Change","Designated",,,"50.12308001","4456.958669838943","501230.80009240145"
"633","Margaree Brook Nature Reserve","Nature Reserve",,"NS Environment and Climate Change","NS Environment and Climate Change","Designated",,,"297.75877688","11668.593706119591","2977587.7687564595"
"634","Ohio River Nature Reserve","Nature Reserve",,"NS Environment and Climate Change","NS Environment and Climate Change","Designated",,,"28.16128704","2226.419439424875","281612.8704282527"
"635","Seal Cove Nature Reserve","Nature Reserve",,"NS Environment and Climate Change","NS Environment and Climate Change","Designated",,,"81.54032518","3758.6844555478415","815403.2518243431"
"636","Pleasant River Conservation Lands","Land Trust or Conservation Easement",,"Nova Scotia Nature Trust","Nova Scotia Nature Trust","Considered protected",,,"7.17523413","1683.0947565735837","71752.34129900433"
"637","Long Lake Bog Conservation Lands","Land Trust or Conservation Easement",,"Nature Conservancy of Canada","Nature Conservancy of Canada","Considered protected",,,"209.04704979","11443.204455277057","2090470.4979076886"
"638","Shingle Mill Bog Conservation Lands","Land Trust or Conservation Easement",,"Nature Conservancy of Canada","Nature Conservancy of Canada","Considered protected",,,"82.3416267","6056.612434097452","823416.2670485519"
"639","Devils Jaw Wilderness Area","Wilderness Area, Conservation Easement",,"NS Environment and Climate Change","NS Environment and Climate Change","Designated",,,"120.95703161","7050.88880650175","1209570.316134242"
"640","Lobster Bay Conservation Lands","Land Trust or Conservation Easement",,"Nature Conservancy of Canada","Nature Conservancy of Canada","Considered protected",,,"30.30558503","3967.345474845265","303055.85029984923"
"641","Carleton River Conservation Lands","Land Trust or Conservation Easement",,"Nature Conservancy of Canada","Nature Conservancy of Canada","Considered protected",,,"93.61783491","4702.5410653674835","936178.3491009477"
"642","Plaister Cliffs Conservation Lands","Land Trust or Conservation Easement",,"Nova Scotia Nature Trust","Nova Scotia Nature Trust","Considered protected",,,"17.29651441","1967.6434317492024","172965.14405004456"
"643","Plaister Cliffs Conservation Lands","Land Trust or Conservation Easement",,"Nova Scotia Nature Trust","Nova Scotia Nature Trust","Considered protected",,,"17.99923514","1976.8080173006006","179992.3514496753"
"644","Plaister Cliffs Conservation Lands","Land Trust or Conservation Easement",,"Nova Scotia Nature Trust","Nova Scotia Nature Trust","Considered protected",,,"58.39967569","3351.8116928254444","583996.7569000798"
"645","South River Nature Reserve","Nature Reserve",,"NS Environment and Climate Change","NS Environment and Climate Change","Designated",,,"15.16582865","3380.4541976305754","151658.2865236248"
"646","Southwest Mabou River Nature Reserve","Nature Reserve",,"NS Environment and Climate Change","NS Environment and Climate Change","Designated",,,"93.23207326","8045.737357495986","932320.7325843656"
"647","Torbrook Nature Reserve","Nature Reserve",,"NS Environment and Climate Change","NS Environment and Climate Change","Designated",,,"143.82525308","6367.443558763478","1438252.5308044164"
"648","Port La Tour Bogs Wilderness Area","Wilderness Area, Conservation Easement",,"NS Environment and Climate Change","NS Environment and Climate Change","Designated",,,"9.83879792","1508.6797123335323","98387.9792287824"
"649","Crows Neck Nature Reserve","Nature Reserve, Conservation Easement",,"NS Environment and Climate Change","NS Environment and Climate Change, NS Department of Natural Resources and Renewables, Nature Conservancy of Canada","Designated",,,"2.79402167","1485.2164101611443","27940.216679411693"
"650","Chase Lake Wilderness Area","Wilderness Area",,"NS Environment and Climate Change","NS Environment and Climate Change","Designated",,,"873.56277708","23164.019756346377","8735627.770769212"
"651","Steepbank Brook Nature Reserve","Nature Reserve",,"NS Environment and Climate Change","NS Environment and Climate Change, NS Department of Natural Resources and Renewables","Designated",,,"202.19861338","10620.879204606572","2021986.133823881"
"652","Port Joli Conservation Lands","Land Trust or Conservation Easement",,"Nature Conservancy of Canada","Nature Conservancy of Canada","Considered protected",,,"47.16293217","3383.8136076367605","471629.321700138"
"653","Port Joli Conservation Lands","Land Trust or Conservation Easement",,"Nature Conservancy of Canada","Nature Conservancy of Canada","Considered protected",,,"59.26755751","3671.7151439425115","592675.5751497053"
"654","Sand Beach Conservation Lands","Land Trust or Conservation Easement",,"Nova Scotia Nature Trust","Nova Scotia Nature Trust","Considered protected",,,"61.23781014","7269.009736933579","612378.1014000188"
"655","Sand Beach Conservation Lands","Land Trust or Conservation Easement",,"Nova Scotia Nature Trust","Nova Scotia Nature Trust","Considered protected",,,"1.70959745","658.0405660126648","17095.97454994431"
"656","St. Mary Bay Conservation Lands","Land Trust or Conservation Easement",,"Nova Scotia Nature Trust","Nova Scotia Nature Trust","Considered protected",,,"17.36975437","1867.937621984056","173697.5436997584"
"657","Barren Meadow 3 Conservation Lands","Land Trust or Conservation Easement",,"Nova Scotia Nature Trust","Nova Scotia Nature Trust","Considered protected",,,"55.66249077","3148.1809542197057","556624.9076502165"
"658","Brier Island Conservation Lands","Land Trust or Conservation Easement",,"Nature Conservancy of Canada","Nature Conservancy of Canada","Considered protected",,,"38.03057352","2835.154271332506","380305.73519985215"
"659","Brier Island Conservation Lands","Land Trust or Conservation Easement",,"Nature Conservancy of Canada","Nature Conservancy of Canada","Considered protected",,,"26.70479366","2569.910754247151","267047.93655028613"
"660","Brier Island Conservation Lands","Land Trust or Conservation Easement",,"Nature Conservancy of Canada","Nature Conservancy of Canada","Considered protected",,,"31.1556657","5496.875829519889","311556.6570486215"
"661","Walton River Wilderness Area","Wilderness Area",,"NS Environment and Climate Change","NS Environment and Climate Change","Designated",,,"2245.79383767","37490.40773362747","22457938.37670548"
"662","Bowers Meadows Wilderness Area","Wilderness Area",,"NS Environment and Climate Change","NS Environment and Climate Change","Designated",,,"4014.28070527","60461.543800028114","40142807.05266886"
"663","Rogues Roost Wilderness Area","Wilderness Area, Conservation Easement",,"NS Environment and Climate Change","NS Environment and Climate Change","Designated",,,"11.76437797","1582.1968503086832","117643.77966636702"
"664","Kelley River Wilderness Area","Wilderness Area",,"NS Environment and Climate Change","NS Environment and Climate Change","Designated",,,"20925.38491917","222945.22650484313","209253849.19171473"
"665","Wentworth Valley Wilderness Area","Wilderness Area",,"NS Environment and Climate Change","NS Environment and Climate Change","Designated",,,"1954.23054179","28411.55210753978","19542305.417863"
