"period","specialty","procedure","provider","zone","facility","year","quarter","consult_median","consult_90th","surgery_median","surgery_90th"
"3month_rolling",,"Knee Replacement Revision",,"Zone 4","Dartmouth General","2025","2",,,"93","138"
"2025_q1",,"Spinal Cord Stimulation Surgery",,"Total","Provincial","2025","1",,,"49","106"
"12month_rolling","Orthopaedic","Knee Scope with ACL Repair","El-Tahan, Tahmir H.",,,,,"7","24","69","249"
"2025_q1",,"Cataract Surgery",,"Zone 4","QE2","2025","1","74","270","58","174"
"12month_rolling","General Surgery","Hernia Repair  (Adult)","Smith, Victoria",,,,,"86","198","27","99"
"12month_rolling","Obstetrics/Gynaecology","Removal of Ovaries and/or Fallopian Tubes  (Cancer Not Suspected)","Cohen, Elissa",,,,,"107","223","28","78"
"2023_q4",,"Knee Scope",,"Zone 2","Aberdeen Hospital","2023","4","62","224","69","182"
"2025_q1",,"Vascular Bypass Surgery",,"Total","Provincial","2025","1",,,"14","99"
"12month_rolling","General Surgery","Hernia Repair - Inguinal/Femoral","Minor, Samuel",,,,,"306","371","118","232"
"2024_q1",,"Knee Replacement Revision",,"Zone 4","QE2","2024","1",,,"166","488"
"12month_rolling","Orthopaedic","Knee Replacement","Sequeira, Stanislaus",,,,,"160","605","366","591"
"2023_q4",,"Cornea and External Disease",,"Zone 4","QE2","2023","4","89","203","105","291"
"2024_q1",,"Thyroid or Parathyroid Surgery",,"Zone 4","Dartmouth General","2024","1","35","246","50","173"
"2024_q1",,"Functional Endoscopic Sinus Surgery (FESS)",,"Zone 3","St. Martha's Regional","2024","1",,,"76","258"
"2024_q4",,"Bowel Resection",,"Zone 1","Valley Regional","2024","4","31","118","53","109"
"2023_q4",,"Knee Replacement",,"Zone 3","Cape Breton Regional","2023","4","189","366","123","203"
"2024_q2",,"Removal of Ovaries and/or Fallopian Tubes  (Cancer Not Suspected)",,"Zone 3","St. Martha's Regional","2024","2","54","410","130","172"
"12month_rolling","Urology","Bladder Cancer Surgery","Rent, Kenneth",,,,,"15","50","32","78"
