busstopid,stopnumber,location,accessible,status,has_shelter,lat,lon
BS1657,8249,Rosedale Ave After Alex St (8249),1,INS,0,44.653051,-63.637744
BS1658,8250,Rosedale Ave At Hillcrest St (8250),0,INS,0,44.65178,-63.640455
BS166,8294,South St Before Church St (8294),1,INS,0,44.639526,-63.572407
BS1662,8670,Samuel Danial Dr Before Melrose Cr (8670),1,INS,0,44.615624,-63.461943
BS1663,8671,Melrose Cr At Civic 180 (8671),1,INS,0,44.61331,-63.464251
BS1664,8672,Heritage Hills Dr Before Serop Cr (8672),1,INS,0,44.611912,-63.468464
BS1665,8673,Heritage Hills Dr Before Cow Bay Rd (8673),0,INS,0,44.613318,-63.469994
BS1666,8674,Cow Bay Rd Before Caldwell Rd (8674),0,INS,0,44.612434,-63.472346
BS1669,8243,Rosedale Ave Before Dutch Village Rd (8243),0,INS,0,44.655152,-63.63302
BS167,7128,Windmill Rd After Wyse Rd (7128),1,INS,0,44.667574,-63.575824
BS1672,8679,Cow Bay Rd After Disciples Way (8679),1,INS,0,44.612112,-63.492437
BS1674,8681,Glendale Ave At Civic 21 (8681),1,INS,0,44.759018,-63.658412
BS1675,8682,Glendale Ave Before Estates Rd (8682),0,INS,0,44.758566,-63.653618
BS168,7129,Windmill Rd After Mott St (7129),1,INS,0,44.667638,-63.578371
BS1683,8701,Sackville Dr At Civic 1823 (8701),0,INS,0,44.798546,-63.734412
BS169,6795,Greystone Dr Opposite Cranberry Ct (6795),1,INS,1,44.599769,-63.612686
BS1693,6664,Forest Hills Pky After Cole Harbour Rd (6664),1,INS,1,44.67331,-63.490626
BS1695,6666,Forest Hills Pky Before 2nd Chameau Cr (6666),1,INS,0,44.681116,-63.491329
BS1696,6667,Forest Hills Pky Before Cole Harbour Rd (6667),1,INS,0,44.673339,-63.490815
BS1697,6668,Forest Hills Pky Before Taranaki Dr (6668),1,INS,0,44.688172,-63.492297
BS1698,6669,Forest Hills Pky At Cole Harbour Place (6669),1,INS,1,44.683568,-63.49094
BS17,8915,Hwy 7 Before Davidsons Rd (8915),0,INS,0,44.73985,-63.319308
BS170,6471,Colby Dr Before Crestwood Dr (6471),1,INS,0,44.661959,-63.483084
BS1700,6671,Forest Hills Pky After Cole Harbour Place (6671),1,INS,1,44.682676,-63.491206
BS1709,8074,Princess Margaret Blvd After Killkee Gate (8074),1,INS,1,44.689133,-63.610166
BS171,6472,Colby Dr Before Deerbrooke Dr (6472),1,INS,0,44.664035,-63.490099
BS1710,8075,Princess Margaret Blvd After Windmill Rd (8075),1,INS,0,44.68635,-63.599499
BS1711,8076,Princess Margaret Blvd Before Hudson Way (8076),1,INS,0,44.68619,-63.603274
BS1713,8078,Princess Margaret Blvd Before Windmill Rd (8078),1,INS,0,44.68616,-63.599751
BS1715,8080,Purcells Cove Rd After Civic 2310 (8080),0,INS,0,44.622386,-63.584896
BS1716,8081,Purcells Cove Rd After Colindale St (8081),1,INS,0,44.630305,-63.608914
BS1717,7066,Lacewood Dr After Clayton Park Dr (7066),1,INS,0,44.663832,-63.645288
BS1718,7067,Lacewood Dr After Dunbrack St (7067),1,INS,1,44.663339,-63.653776
BS1719,7068,Lacewood Dr After Glenforest Dr (7068),1,INS,1,44.661164,-63.638267
BS172,6473,Colby Dr Before Grenadier Dr (6473),1,INS,0,44.660521,-63.481196
BS1720,7069,Lacewood Dr After Gateway Rd (7069),1,INS,1,44.662953,-63.642753
BS1722,7072,Lacewood Dr After Willett St (7072),1,INS,0,44.662303,-63.660425
BS1723,7073,Lacewood Dr After Thomas Raddall Dr (7073),1,INS,1,44.659869,-63.66571
BS1724,7074,Lacewood Dr After Gateway Rd (7074),1,INS,0,44.663332,-63.64348
BS1725,7075,Lacewood Dr Before Bayview Rd (7075),1,INS,1,44.663914,-63.645315
BS1726,7076,Lacewood Dr Before Cedarbrae Ln (7076),1,INS,0,44.664081,-63.648742
