"uid","project_number","civic_address","community","number_of_units","pid","housing_authority","county","municipality","x_coordina","y_coordina","location_1"
"170","5304","1463 Lincoln Crt","Kingston","1","55085815","Western Regional Housing Authority","Kings","Municipality of the County of Kings","-64.96147089","44.98722096","(44.98722096, -64.96147089)"
"171","5304","1471 Lincoln Crt","Kingston","1","55085799","Western Regional Housing Authority","Kings","Municipality of the County of Kings","-64.96158897","44.98748634","(44.98748634, -64.96158897)"
"172","5304","1467 Lincoln Crt","Kingston","1","55085807","Western Regional Housing Authority","Kings","Municipality of the County of Kings","-64.96152993","44.98735365","(44.98735365, -64.96152993)"
"173","5324","173 Mee Rd","North Kentville","1","55035042","Western Regional Housing Authority","Kings","Municipality of the County of Kings","-64.47739529","45.0928104","(45.0928104, -64.47739529)"
"174","5324","179 Mee Rd","North Kentville","1","55035059","Western Regional Housing Authority","Kings","Municipality of the County of Kings","-64.47726947","45.09307285","(45.09307285, -64.47726947)"
"175","5324","561 Aldershot Rd","North Kentville","1","55051783","Western Regional Housing Authority","Kings","Municipality of the County of Kings","-64.50390626","45.09506254","(45.09506254, -64.50390626)"
"176","5324","318 Black Hole Rd","Sheffield Mills","1","55009856","Western Regional Housing Authority","Kings","Municipality of the County of Kings","-64.47802111","45.16297222","(45.16297222, -64.47802111)"
"177","5324","16 Colonial Cres","New Minas","1","55212732","Western Regional Housing Authority","Kings","Municipality of the County of Kings","-64.44609579","45.07071027","(45.07071027, -64.44609579)"
"178","5324","28 Colonial Cres","New Minas","1","55212724","Western Regional Housing Authority","Kings","Municipality of the County of Kings","-64.44590199","45.07011622","(45.07011622, -64.44590199)"
"179","5324","27 Castle Loma Dr","New Minas","1","55212740","Western Regional Housing Authority","Kings","Municipality of the County of Kings","-64.44630026","45.07065456","(45.07065456, -64.44630026)"
"180","5324","39 Castle Loma Dr","New Minas","1","55212716","Western Regional Housing Authority","Kings","Municipality of the County of Kings","-64.44612497","45.07006248","(45.07006248, -64.44612497)"
"181","5326","999 Rafuse Rd","Waterville","1","55163240","Western Regional Housing Authority","Kings","Municipality of the County of Kings","-64.68419596","45.04658461","(45.04658461, -64.68419596)"
"182","5326","1003 Rafuse Rd","Waterville","1","55163232","Western Regional Housing Authority","Kings","Municipality of the County of Kings","-64.68432324","45.0466834","(45.0466834, -64.68432324)"
"183","5326","1023 Rafuse Rd","Waterville","1","55163190","Western Regional Housing Authority","Kings","Municipality of the County of Kings","-64.68522649","45.0472939","(45.0472939, -64.68522649)"
"184","5326","1031 Rafuse Rd","Waterville","1","55163182","Western Regional Housing Authority","Kings","Municipality of the County of Kings","-64.68559544","45.04754524","(45.04754524, -64.68559544)"
"185","5332","382 Orchard St","South Berwick","1","55122634","Western Regional Housing Authority","Kings","Municipality of the County of Kings","-64.74553116","45.03380737","(45.03380737, -64.74553116)"
"186","5332","386 Orchard St","South Berwick","1","55144760","Western Regional Housing Authority","Kings","Municipality of the County of Kings","-64.74527828","45.0340149","(45.0340149, -64.74527828)"
"187","5332","1749 Highway 359","Centreville","1","55054639","Western Regional Housing Authority","Kings","Municipality of the County of Kings","-64.52333997","45.12531075","(45.12531075, -64.52333997)"
"188","5332","451 West Brooklyn Mtn Rd","West Brooklyn","1","55233183","Western Regional Housing Authority","Kings","Municipality of the County of Kings","-64.26601748","45.0747688","(45.0747688, -64.26601748)"
"189","5334","952 Thompson Rd","Waterville","1","55149454","Western Regional Housing Authority","Kings","Municipality of the County of Kings","-64.674849","45.04529444","(45.04529444, -64.674849)"
"190","5334","958 Thompson Rd","Waterville","1","55168405","Western Regional Housing Authority","Kings","Municipality of the County of Kings","-64.67497667","45.0455282","(45.0455282, -64.67497667)"
"191","5334","141 Old Ratchford Rd","Cambridge","1","55150981","Western Regional Housing Authority","Kings","Municipality of the County of Kings","-64.6366054","45.06818636","(45.06818636, -64.6366054)"
"192","5334","3144 Cornwallis Cres","Coldbrook","1","55153290","Western Regional Housing Authority","Kings","Municipality of the County of Kings","-64.56897452","45.06937561","(45.06937561, -64.56897452)"
"193","5334","249 Rockwell Mountain Rd","Northville","1","55042428","Western Regional Housing Authority","Kings","Municipality of the County of Kings","-64.5642237","45.13895557","(45.13895557, -64.5642237)"
"194","5334","693 Bluff Rd","Avonport","1","55228217","Western Regional Housing Authority","Kings","Municipality of the County of Kings","-64.2244449","45.09928854","(45.09928854, -64.2244449)"
"195","5337","647 Bowlby Park Dr","Greenwood","1","55120927","Western Regional Housing Authority","Kings","Municipality of the County of Kings","-64.94137621","44.9760998","(44.9760998, -64.94137621)"
"196","5337","28 Memory Lane","New Minas","1","55212195","Western Regional Housing Authority","Kings","Municipality of the County of Kings","-64.42646117","45.07737847","(45.07737847, -64.42646117)"
"197","5337","1413 Park Rd","Kingston","1","55121354","Western Regional Housing Authority","Kings","Municipality of the County of Kings","-64.94558735","44.98452476","(44.98452476, -64.94558735)"
"198","5351","655 Bluff Rd","Avonport","1","55228225","Western Regional Housing Authority","Kings","Municipality of the County of Kings","-64.22461851","45.10018885","(45.10018885, -64.22461851)"
"199","5351","920 Summer St","Canning","1","55008601","Western Regional Housing Authority","Kings","Municipality of the County of Kings","-64.43467033","45.16330652","(45.16330652, -64.43467033)"
"200","5351","945 Mary Ave","Centreville","1","55057863","Western Regional Housing Authority","Kings","Municipality of the County of Kings","-64.52382717","45.13508361","(45.13508361, -64.52382717)"
"201","5351","6568 Highway 221","Lakeville","1","55062459","Western Regional Housing Authority","Kings","Municipality of the County of Kings","-64.60574768","45.11005584","(45.11005584, -64.60574768)"
"202","5351","1204 County Home Rd","Waterville","1","55164123","Western Regional Housing Authority","Kings","Municipality of the County of Kings","-64.67383609","45.0545561","(45.0545561, -64.67383609)"
"203","5332","5419 Highway 1","Waterville","1","55159214","Western Regional Housing Authority","Kings","Municipality of the County of Kings","-64.67413056","45.0494252","(45.0494252, -64.67413056)"
"204","5332","5417 Highway 1","Waterville","1","55159214","Western Regional Housing Authority","Kings","Municipality of the County of Kings","-64.67424614","45.04938211","(45.04938211, -64.67424614)"
"205","5332","513 West Brooklyn Mtn Rd","West Brooklyn","1","55233209","Western Regional Housing Authority","Kings","Municipality of the County of Kings","-64.26310227","45.07333193","(45.07333193, -64.26310227)"
"206","7004","140 Pine St","Bridgewater","1","60037694","Western Regional Housing Authority","Lunenburg","Town of Bridgewater","-64.50935496","44.3662229","(44.3662229, -64.50935496)"
"326","6102","8B Shaw Ave","Yarmouth","1","90204355","Western Regional Housing Authority","Yarmouth","Town of Yarmouth","-66.11515379","43.84597622","(43.84597622, -66.11515379)"
"207","7004","196 Pine St","Bridgewater","1","60037751","Western Regional Housing Authority","Lunenburg","Town of Bridgewater","-64.51044811","44.36471035","(44.36471035, -64.51044811)"
"208","7004","152 Pine St","Bridgewater","1","60037710","Western Regional Housing Authority","Lunenburg","Town of Bridgewater","-64.50946524","44.36582529","(44.36582529, -64.50946524)"
"209","7004","27 Pinehurst Ave","Bridgewater","1","60047305","Western Regional Housing Authority","Lunenburg","Town of Bridgewater","-64.5099168","44.38554457","(44.38554457, -64.5099168)"
"210","7009","71 Riverview Dr","Bridgewater","1","60020179","Western Regional Housing Authority","Lunenburg","Town of Bridgewater","-64.55239344","44.40132324","(44.40132324, -64.55239344)"
"211","7009","61 Riverview Dr","Bridgewater","1","60020161","Western Regional Housing Authority","Lunenburg","Town of Bridgewater","-64.55211202","44.40155394","(44.40155394, -64.55211202)"
"212","7012","29 Glen Allan Dr","Bridgewater","1","60043577","Western Regional Housing Authority","Lunenburg","Town of Bridgewater","-64.51438765","44.38330007","(44.38330007, -64.51438765)"
"213","7012","226 St Phillips St","Bridgewater","1","60023090","Western Regional Housing Authority","Lunenburg","Town of Bridgewater","-64.53890635","44.38110177","(44.38110177, -64.53890635)"
"214","7013","282 Pine St","Bridgewater","1","60040771","Western Regional Housing Authority","Lunenburg","Town of Bridgewater","-64.51172161","44.36196382","(44.36196382, -64.51172161)"
"215","7013","298 Pine St","Bridgewater","1","60040789","Western Regional Housing Authority","Lunenburg","Town of Bridgewater","-64.51152577","44.36142535","(44.36142535, -64.51152577)"
"216","7408","677 Conquerall Mills Rd","Hebbville","1","60348554","Western Regional Housing Authority","Lunenburg","Municipality of the District of Lunenburg","-64.5240042","44.33395827","(44.33395827, -64.5240042)"
"217","5332","1751 Highway 359","Centreville","1","55054639","Western Regional Housing Authority","Kings","Municipality of the County of Kings","-64.52316913","45.12552719","(45.12552719, -64.52316913)"
"218","5337","30 Memory Lane","New Minas","1","55208672","Western Regional Housing Authority","Kings","Municipality of the County of Kings","-64.42626773","45.07752204","(45.07752204, -64.42626773)"
"219","5337","649 Bowlby Park Dr","Greenwood","1","55120927","Western Regional Housing Authority","Kings","Municipality of the County of Kings","-64.94119855","44.97597095","(44.97597095, -64.94119855)"
"220","7408","1661 Highway 325","Whynotts Settlement","1","60250370","Western Regional Housing Authority","Lunenburg","Municipality of the District of Lunenburg","-64.46686163","44.41825563","(44.41825563, -64.46686163)"
"221","7012","23 Glen Allan Dr","Bridgewater","1","60043569","Western Regional Housing Authority","Lunenburg","Town of Bridgewater","-64.51457008","44.38347803","(44.38347803, -64.51457008)"
"222","7408","8 China Lake Rd","Italy Cross","1","60300043","Western Regional Housing Authority","Lunenburg","Municipality of the District of Lunenburg","-64.55520604","44.25125416","(44.25125416, -64.55520604)"
"223","6801","151 Old Port Mouton Rd","Liverpool","1","70019286","Western Regional Housing Authority","Queens","Region of Queens Municipality","-64.72326726","44.0319054","(44.0319054, -64.72326726)"
"224","6801","163 Old Port Mouton Rd","Liverpool","1","70019278","Western Regional Housing Authority","Queens","Region of Queens Municipality","-64.72366588","44.03158059","(44.03158059, -64.72366588)"
"225","6801","169 Old Port Mouton Rd","Liverpool","1","70019260","Western Regional Housing Authority","Queens","Region of Queens Municipality","-64.72391399","44.03140047","(44.03140047, -64.72391399)"
"226","6801","183 Old Port Mouton Rd","Liverpool","1","70019252","Western Regional Housing Authority","Queens","Region of Queens Municipality","-64.72437488","44.03111169","(44.03111169, -64.72437488)"
"227","6801","189 Old Port Mouton Rd","Liverpool","1","70019245","Western Regional Housing Authority","Queens","Region of Queens Municipality","-64.72462366","44.03095761","(44.03095761, -64.72462366)"
"228","6802","21 Payzant St","Liverpool","1","70018775","Western Regional Housing Authority","Queens","Region of Queens Municipality","-64.72261296","44.03619819","(44.03619819, -64.72261296)"
"229","6802","25 Payzant St","Liverpool","1","70018767","Western Regional Housing Authority","Queens","Region of Queens Municipality","-64.72240574","44.03611295","(44.03611295, -64.72240574)"
"230","6802","31 Payzant St","Liverpool","1","70018759","Western Regional Housing Authority","Queens","Region of Queens Municipality","-64.72219166","44.03604415","(44.03604415, -64.72219166)"
"231","6802","35 Payzant St","Liverpool","1","70018742","Western Regional Housing Authority","Queens","Region of Queens Municipality","-64.72202426","44.03595401","(44.03595401, -64.72202426)"
"232","6802","41 Payzant St","Liverpool","1","70018734","Western Regional Housing Authority","Queens","Region of Queens Municipality","-64.72183644","44.0358461","(44.0358461, -64.72183644)"
"233","6805","6 Millard Ave","Liverpool","1","70019831","Western Regional Housing Authority","Queens","Region of Queens Municipality","-64.71772369","44.0332367","(44.0332367, -64.71772369)"
