"region","variable","common_name","description","rcp45_p05_2010","rcp45_p05_2045","rcp45_p05_2065","rcp45_p05_2095","rcp45_p50_2010","rcp45_p50_2045","rcp45_p50_2065","rcp45_p50_2095","rcp45_p95_2010","rcp45_p95_2045","rcp45_p95_2065","rcp45_p95_2095","rcp85_p05_2010","rcp85_p05_2045","rcp85_p05_2065","rcp85_p05_2095","rcp85_p50_2010","rcp85_p50_2045","rcp85_p50_2065","rcp85_p50_2095","rcp85_p95_2010","rcp85_p95_2045","rcp85_p95_2065","rcp85_p95_2095"
"Nova Scotia","r20mm_annual","Number of Wet Days > 20mm","The number of days when the precipitation was above 20 mm","10.28839601","11.3502292","11.90560221","12.30927751","15.76688572","16.99598394","17.70727354","18.2283883","22.1950286","23.69520506","24.6577218","25.38637378","10.35504239","11.42095655","12.2418766","13.84434709","15.85181129","17.44862277","18.2959312","19.96454505","22.35090463","24.10397144","25.1195489","26.69037767"
"Nova Scotia","r20mm_spring","Number of Wet Days > 20mm","The number of days when the precipitation was above 20 mm","0.886444769","1.190438522","1.343048964","1.316538883","3.182021013","3.557908401","3.810190256","3.866942518","6.366607846","6.688876719","7.119569186","7.174556813","0.936546185","1.290312766","1.313050181","1.667092613","3.210234879","3.805809095","4.006571742","4.446918989","6.414786418","7.05693481","7.449839763","7.894162509"
"Nova Scotia","r20mm_summer","Number of Wet Days > 20mm","The number of days when the precipitation was above 20 mm","0.570118859","0.840696118","0.802563791","0.761632388","2.862155693","3.065271186","3.09630441","3.114437548","5.958393169","6.219078334","6.447912864","6.374731248","0.601772748","0.79477506","0.736826092","0.921159385","2.857409436","2.985558395","3.049937122","3.377266642","5.930822279","6.204433897","6.460772382","6.867449596"
"Nova Scotia","r20mm_fall","Number of Wet Days > 20mm","The number of days when the precipitation was above 20 mm","2.091028762","2.199829622","2.352135816","2.478398442","4.91610888","5.14944627","5.396332806","5.460995497","8.479755385","8.860796722","8.885136506","9.1648209","2.126057766","2.135734859","2.387002556","2.513954809","4.953734128","5.202709829","5.357470285","5.62962963","8.608322178","8.772139061","8.8688897","9.358504726"
"Nova Scotia","r20mm_winter","Number of Wet Days > 20mm","The number of days when the precipitation was above 20 mm","1.664090706","2.068171677","2.183400268","2.459758225","4.342744716","4.780455154","5.024461482","5.410571579","7.797874326","8.314895947","8.472191797","8.926858951","1.619932254","2.034968155","2.361060403","2.865583546","4.323029492","4.922356091","5.35730802","6.113991319","7.960212567","8.622936189","9.404831447","9.799906697"
"Nova Scotia","rx1day","Maximum 1-day Precipitation","The maximum rainfall that occurred over 1 day","38.1334727","39.53287076","40.57442709","41.68957985","52.93400068","55.68637109","57.22604699","58.34653686","87.14801829","96.82150777","98.09492451","100.2940572","38.08403985","40.36047182","41.69794184","44.81575061","53.18250635","56.90926604","59.51646945","63.1752837","88.52548946","97.07924351","101.4195539","106.7439737"
"Nova Scotia","rx5day","Maximum 5-days Precipitation","The maximum rainfall that occurred over 5 consecutive days","66.1860622","68.55219437","70.21286758","71.03903838","89.69354136","94.0918035","96.08933007","97.70894047","139.4369276","144.8596156","150.2890723","153.1509389","66.36623657","69.30305907","72.39053631","76.99838892","90.01021287","94.93447889","99.05543237","105.2276989","141.5334233","152.0440578","155.4123472","162.2328303"
"Nova Scotia","sd","Extreme Snow Days","Number of days precipitation above 20 mm and temperature below 0°C","0.936454911","0.611253093","0.513224616","0.420834855","3.284856598","2.755993672","2.519857207","2.395278082","6.568084459","5.882317147","5.378341649","5.317269076","0.888521764","0.649669385","0.355949049","0.122956472","3.300454343","2.863007586","2.328019147","1.696482901","6.613944668","6.056914527","5.283599043","4.22548781"
"Nova Scotia","snowdays_annual","Snowdays","Number of days with snowfall above 15 cm","2.030830392","1.207942883","0.983874894","0.809865726","5.163766176","4.048639","3.477505984","3.145754736","9.408332319","8.080260436","7.125998945","6.636951848","1.969165551","1.221106649","0.668005355","0.204575879","5.169871405","4.048233337","3.029086041","2.019918056","9.525611537","8.124964504","6.724838749","5.034177112"
"Nova Scotia","snowdays_winter","Snowdays","Number of days with snowfall above 15 cm","1.130789826","0.856679242","0.488174922","0.446695874","3.92466837","3.073465579","2.712628291","2.530323313","7.511421443","6.601537463","5.89963896","5.629994726","1.130891242","0.700559815","0.364873636","0.102003975","3.89854367","3.016997282","2.359782565","1.591902965","7.596263843","6.678593161","5.622449394","4.383189323"
